StAX processor created successfully
Starting file processing
Editors:
Ломовская Дача - 1
МАПП Косак - 1
Детский дом №6 - 1
Детский дом №7 - 1
Дом Молодёжи - 1
Рубиновая улица - 1
Тополёк - 1
Микрорынок на Учительской - 1
Хоккейная коробка НГТУ - 1
Универсм удачных покупок - 1
1-я улица - 1
АлтайАвто54 - 1
Конструкторско-технологический институт вычислительной техники - 1
Золоотвалы ТЭЦ №2 и ТЭЦ №3 - 1
Кармакла - 1
Сибакадемстрой-Недвижимость - 1
S-Ш�?НА - 1
Зимниковская улица - 1
Отделение связи №630559 - 1
улица Комбайнёров - 1
Отделение связи №630556 - 1
Осиново - 1
Сибирский кадетский корпус - 1
4-й Бронный переулок - 1
Профессиональное училище №90 - 1
СХПК - 1
Маюрово - 1
Новопервомайское - 1
Пятак - 1
Детский приют "Незабудка" - 1
Старый мраморный карьер - 1
Зудово - 1
Болотнинский психоневрологический интернат - 1
Участковый пункт милиции №5 - 1
Черепановские электрические сети - 1
Стрелюшка - 1
Лицей №66 - 1
Памятник светофору - 1
14-я улица - 1
Микрорайон Новоборск - 1
Веселовская улица - 1
Pranzolini - 1
ПГК "Строитель-3" - 1
Рыси - 1
Оздоровительно-косметический салон Эффект - 1
Здвинск — Барабинск - 1
Краснозёрское РАЙПО - 1
Магазин Атланта - 1
Нижнебаяновский - 1
Мехцех - 1
5-я Ольховская улица - 1
Стоматологическая Поликлиника - 1
TP2984 - 1
Новосибирский гуманитарный институт - 1
Брод до 50 см! - 1
ТЦ Салют - 1
РАТЕК транспортная компания - 1
Горизонт - 1
Цветы сибири - 1
ПГК "Строитель-4" - 1
Пекинская утка - 1
Кондусла - Дмитриевский - 1
Нептун - 1
Плющихинский ЖМ - 1
Новомотково - 1
Почта России 630112 - 1
столовая - 1
Женская консультация №1 - 1
Кафе посредственной трапезы - 1
Тогуинский РОВД - 1
ЗАО Политотдельское - 1
Каширская улица - 1
Научно-Технологический Парк - 1
Славянская улица - 1
Новокаменево - 1
Общежитие № 95 - 1
Парк "Добро" - 1
Цветнополье - 1
54 км - 1
Сказочная улица - 1
Детский парк - 1
томсктрансгаз - 1
Церковь Владимира Равноапостольного - 1
Подстанция «Уртам» - 1
Подъезд к Проскоково - 1
Криводановский сельсовет - 1
Тимаково - 1
Залесовский район - 1
Выпаса-Вечерка - 1
Общежитие № 96 - 1
Горькоозёрный (недейств.) - 1
Уень - 1
Завод железобетонных изделий - 3 - 1
о.Кол - 1
улица �?льича - 1
улица Грекова - 1
Теплица - 1
Косметика Триц - 1
Новосибирский Дом Ветеранов - 1
д/с №359 "Теремок" - 1
Кара-Сор - 1
база отдыха соран - 1
улица Папшева - 1
тупик Красина - 1
Таганрогская улица - 1
Лодка - 1
Маматын - 1
2й шлакбаум - 1
Ренуар салон-магазин - 1
Новосибирский приборостроительный техникум - 1
�?скитимский городской историко-художественный музей - 1
Открытие - 1
Стоматологическая клиника - 1
2-й Садовый переулок - 1
СТО "Старт" - 1
�?справительная колония-2 - 1
Дом Актёра - 1
Общежитие №4 СГУПС - 1
Завод "Экран" - 1
оз. Кузькино - 1
Бехтень - 1
ГАС�?С - 1
улица Качалова - 1
Участок-Балта - 1
рабочий посёлок Посевная - 1
taily - 1
Новосибирский переулок - 1
Королева роз - 1
Васинский - 1
Гостиница - 1
Долгое (Кривое) - 1
Кукарка - 1
Липовый проезд - 1
1-й Горский переулок - 1
Коллекция пустяков - 1
улица Лебедевского - 1
Училище №9 - 1
КПП Белоярка - 1
Казаково - 1
Прямой переулок - 1
магазин Калина - 1
Сушзавод - 1
Механизаторская улица - 1
Дом детского творчества им. В. Дубинина - 1
площадь Горького - 1
улица Леонида Русских - 1
Столовая Технопарка - 1
Убинское — Орловка - 1
Вассинский водопад - 1
улица Мартынова - 1
Maks-Motors - Mazda, Jaguar, Lend Rover - 1
Колесо обозрения - 1
Мал. Хмелевка - 1
16-я улица - 1
оз. Кабанье - 1
улица Мартена - 1
2-й Калужский переулок - 1
Гидрометеослужба - 1
Сибремточстанок - 1
Public Pub - 1
�?нститут минералогии и петрографии - 1
ПТД - 1
Сузунская улица - 1
Погребок - 1
Склад ТСМ - 1
магазинчик - 1
Ребрихинский район - 1
Стадион Старт - 1
ГСК "Локомотив" - 1
1-й переулок Энтузиастов - 1
улица Кулагина - 1
Ереснинская улица - 1
Екатеринославский - 1
Велижановская Школа - 1
IKEA - 1
Магазин «Чемпион» - 1
Садовый проезд - 1
Парковка для жильцов - 1
подъезд к Ваганову - 1
АЗС Премьер - 1
Каштаково - 1
Столовая ФКП "Анозит" - 1
дорога на Хабары - 1
Зоново - 1
Золотой полюс - 1
МКЦ «Сибирь-Хоккайдо» - 1
Покатная - 1
САВО�? - 1
озеро Чаны - 1
Преображенская улица - 1
1.5 км - 1
�?рэн - 1
Голубинка - 1
улица Мамонтова - 1
Ресторан, кулинария - 1
разъезд Теренгуль - 1
9-й Почтовый переулок - 1
Лебяжье-Асаново - 1
5-я линия Полевого жилмассива улица - 1
Спортивный Комплекс "Молодость" - 1
ЖД Вокзал - 1
Областной дом милосердия - 1
Мышланка - 1
Пионер Труда - 1
Мой банк - 1
Тапир - 1
Бердская Центральная Городская Больница - 1
86 км - 1
Вассино - 1
Благовещенская улица - 1
улица Смородина - 1
улица Беляева - 1
Петропавловка 2-я - 1
Поселок Лесной Авиации - 1
мдм - 1
4-этажная деревянная мельница - 1
Сезонный - 1
Малая Одинека - 1
улица Кирзавод - 1
ПС Академическая - 1
2-я Архитектурная улица - 1
Довольное - 1
Плотина ГЭС - 1
Новосибирскрегионгаз - 1
Красноникольск - 1
Усть-Ургулька - 1
Тагильская улица - 1
АЗС №63 Газпром - 1
Ветеринария - 1
Суши-терра - 1
Черёмушный переулок - 1
Логистичесий комплекс Мегалоджикс - 1
Раздолье - 1
Телесота - 1
Профсоюзы Новосибирской области - 1
Звёздный переулок - 1
Общежитие №2 НГАУ - 1
�?нститут археологии и этнографии - 1
Ксеньевка - 1
о.Перекопный - 1
Эконом плюс - 1
с/о Вишня - 1
Лицей №81 - 1
АЗС Радуга - 1
Юдинка - 1
Терск - 1
Баганёнок - 1
Каменский район - 1
Double Strike - 1
ГСК "Гвардеец" - 1
Б. Оёш - 1
Красный Кут - 1
Гоноховский сельсовет - 1
НОУКК (автошкола) - 1
ГСК "Роща" - 1
Удача - 1
Армейская улица - 1
Алмазная улица - 1
Новоалександровская НОШ - 1
2-я Кондукторская улица - 1
�?тальянское мороженое Мастерская Джелато - 1
о.Черемушкин - 1
Харакири - 1
Трактовая - 1
Малый Барлак - 1
Завод Железобетонных �?зделий - 4 - 1
Завод Железобетонных �?зделий - 2 - 1
52 км а/д «К-02» — Филошенка - 1
Малая улица - 1
п. Трудовой - 1
Казанское кладбище - 1
Строительство автодрома "Сибирское кольцо" - 1
Херсонка - 1
МАР�?Я-РА - 1
Стела - 1
подъезд к Щукино - 1
Черносельская улица - 1
Большекрасноярка - 1
Бэль - 1
TP294 - 1
Верхняя улица - 1
Вокзал о. п. 38 км - 1
Собин - 1
Кожно-венерологический диспансер №1 - 1
переулок Чистеева - 1
ТТК - Западная Сибирь - 1
Газпромнефть АЗС - 1
�?сторико-архитектурный музей под открытым небом - 1
Нижнекаменка-Ордынское - 1
озеро Чертану куль - 1
УРАЛС�?Б - 1
Типография «Мэйкер» - 1
Сакура - 1
Любимовка - 1
Электронная улица - 1
улица Стофато - 1
вагоноремонтное депо - 1
улица Ляпунова - 1
Пешково - 1
Сибирская электротехника, РК КЭМОНТ - 1
3-я проходная - 1
Автомагазин "Автодрайв" - 1
K-150 - 1
Юргинская улица - 1
Бульвар Ветеранов Войны дом 30 - 1
ООО «Ц�?ТРос» - 1
Марай - 1
Лидия - 1
Автолицей - 1
�?чкала - 1
протока Старица Оби - 1
Новообинцевский сельсовет - 1
Филимоновский - 1
1-й Горный переулок - 1
ГСК "Металлист" - 1
Специальная школа №62 - 1
Братская улица - 1
городской округ Камень-на-Оби - 1
НПО Вектор - 1
Биатлонная улица - 1
TP273 - 1
ПАТУ №8 - 1
ЦКБ - 1
беловский водопад - 1
Черемховская улица - 1
TP280 - 1
Малиновая - 1
Land Rover - 1
Медвежий угол - 1
памятник Ленину - 1
переулок Циолковского - 1
ул. Никитина - 1
сопка Лысая - 1
улица Бубенчикова - 1
ООО «Сибирские газоны» - 1
Кумысный - 1
Верхняя Тула - 1
�?зумрудный городок - 1
Новочановское - 1
Болотнинская улица - 1
Кругликово - 1
Затулинский жилмассив - 1
Горлово - 1
п-ов Кондаков - 1
65 км - 1
детский сад № 7 - 1
Детский сад №97 "Сказка" - 1
Озерки 6-е - 1
Большие Луки - 1
Банк России - 1
Мед. пункт. - 1
База отдыха Университетская - 1
4-я Садовая улица - 1
Юлия - 1
Симпатия - 1
Мехколонская улица - 1
1-й Ольховский переулок - 1
Асфальтный переулок - 1
2-я Водонасосная улица - 1
Заливино - 1
TP267 - 1
Тебисская - 1
Шуринский - 1
Архонский переулок - 1
2-й Тоннельный переулок - 1
парковка закрытая для сотрудников - 1
ГСК "Сибирь" - 1
проезд Репина - 1
Коноваловка - 1
электробудка - 1
Пляжная улица - 1
Кладбище пос. Тульский - 1
Линево - 1
Ширяевка - 1
1413 км а/д «М-51» — Колывань - 1
САУМК - 1
ОАО "Объединение Вторчермет" - 1
Сапожковский - 1
Пешеходная 5 - 1
снт "Ключи-4 Восточные" - 1
Северная - 1
оз. Таганово - 1
мороженное - 1
Таганрогский переулок - 1
Малокарагаевка - 1
Дилижанс - 1
Ключевая - 1
Узбекская кухня - 1
Кирпичный завод №1 - 1
о. Огуречный - 1
Конторра с/о "Парус" - 1
Шигаево - 1
Электрик-5 - 1
1-й Зеленхозовский переулок - 1
Медвежья Сопка - 1
Веснянка - 1
Противопожарная башня - 1
Музыкальная школа №8 - 1
переулок Чехова - 1
Красноярское отделение милиции - 1
озеро Малый Яркуль - 1
Болотнинский полигон твёрдых отходов - 1
переулок Макаренко - 1
149 км - 1
Кондитерская фабрика - 1
Магазин "У Петровича" - 1
Cell Tower - 1
АЗС Серебро - 1
кладбище старое - 1
7-й Калужский переулок - 1
Pub-501 - 1
Общежитие №3 СГУПС - 1
Дилерский центр Nissan - 1
1-я �?скитимская улица - 1
Грузинская кухня - 1
71 км а/д «М-52» — Легостаево — Чемское — 76 км а/д «К-16» (в гр. района) - 1
Газгольдеры - 1
Ежула - 1
Блинок - 1
Храм всех святых в земле российской просиявших - 1
Детский сад № 373 «Скворушка» - 1
ДК «Радуга» - 1
1234 км а/д «М-51» — Убинское - 1
общежитие НГАСУ - 1
Озеро жалманды - 1
Детский дом №80 "Василек" - 1
Насоново - 1
Амиго - 1
Казатово - 1
Бульварный переулок - 1
НГМУ Лабораторный корпус - 1
Брусянка - 1
Ту-154 - 1
TP0247 - 1
Спортивный стадион Восток - 1
переулок Ермака - 1
аллея Героев - 1
Низовка - 1
ГСК "�?сток" - 1
Таволга - 1
Анисимовский сельсовет - 1
переулок Губкина - 1
Честь и слава павшим за справедливость - 1
Гимназия №11 "Гармония" - 1
ГСК Прогресс 01 - 1
АЗС Топлайн №19 - 1
улица Куприна - 1
АЗС Топлайн №18 - 1
улица Дежнёва - 1
переулок Декабристов - 1
Велижановский лесхоз - 1
ДОЛ Дзержинец - 1
Атлас - 1
Тонус - 1
озеро Бахтияр куль - 1
Железнодорожная столовая - 1
Вечерняя школа №6 - 1
проспект Мира - 1
Магазин "Крепеж" - 1
улица �?льичёва - 1
Триал-Спорт - 1
улица Бахарева - 1
улица 60 лет Победы - 1
Мальково - 1
Остановочная Платформа 3023 км Барабушка - 1
ЖК "Три Богатыря" - 1
Корпус №2 (Онкология) - 1
TP2892 - 1
ул. Панфиловцев - 1
Детский сад №325 "Сказка" - 1
Урск — Тайгинский леспромхоз - 1
Пристанский переулок - 1
Детский сад №11 "Снегирёк" - 1
Берёзовый проезд - 1
�?нюшенская улица - 1
Приёмный покой - 1
Мошковская улица - 1
Горнолыжный комплекс Пихтовый гребень - 1
142 км - 1
Купеческая улица - 1
проезд Далидовича - 1
Весы - 1
Мошково — Сарапулка - 1
АЗС Нефтесиб - 1
Якутская улица - 1
2-я Складская улица - 1
Байрон - 1
Сантимо - 1
Вокзал Черепаново - 1
24 км а/д «Н-3209» — Волковский - 1
Детский Cад - 1
Дет.сад Зёрнышко - 1
ВТБ-24 - 1
Трест-Связьстрой-6 - 1
Каракалы - 1
Bystronom - 1
Шотландский пони, домашний осел - 1
Каприз - 1
подъезд к Береговому - 1
Черепановский район - 1
Сумы - 1
Детский дом №15 "Надежда" - 1
Фермы - 1
Кашлам - 1
БМ-13 "Катюша" - 1
�?тыкус - 1
Такси "Шах" - 1
9-й переулок Успенского - 1
Маршрутное такси №1062А - 1
3116 км - 1
Леньково - 1
TP1535 - 1
Красноуфимская улица - 1
гастрономический ресторан "Калачи" - 1
Музей С. М. Кирова в Сибири - 1
супермаркет "Татьяна" - 1
ПЧ8 - 1
Вечерняя школа №10 - 1
Озеро ойнок - 1
Цветниковский сельсовет - 1
о.Тенис - 1
Селикла - 1
Вечерняя школа №15 - 1
Луговская улица - 1
Ростехнадзор - 1
Парикмахерская "Русена" - 1
Пицца патио - 1
TP1545 - 1
Каськовский - 1
Арлюк — Чёрный Падун - 1
Хабарский районный суд - 1
TP1544 - 1
Областной центр детского (юношеского) технического творчества «Автомотоцентр» - 1
Дельфин - 1
Молодёжный центр - 1
Новосибирский музыкальный колледж - 1
Новосибирское шоссе - 1
Лохматое озеро - 1
Яча - 1
озеро Ембакуль - 1
Агачаулово - 1
Горская - 1
Барышевский сельсовет - 1
ряд ларьков - 1
Сарачевка - 1
Администрация Д.П. Кудряшовский - 1
оз. Спартак - 1
Пашинский переезд - 1
ПЧ-72 ФГКУ "4 отряд ФПС по Нвосибирской области" - 1
4 Корпус - 1
1-я проходная - 1
Квартал Березняки - 1
Рио - 1
Бердский филиал НГТУ - 1
зона скейтеров - 1
Плакучая �?ва - 1
Урожай - 1
Равнинная улица - 1
7-й Бронный переулок - 1
Педагогический лицей - 1
Автомир (Renault) - 1
Garden Apple - 1
Медсанчасть УВД - 1
Ордынский общепит - 1
тропинка Ю. А. Дядина - 1
Ефремовка - 1
СТО Башня - 1
бол. Первый Рямок - 1
6-я Ольховская улица - 1
ДК Краснохуторской - 1
Ельнинская улица - 1
Бюро технической экспертизы (БТ�?) - 1
БМП-1 - 1
Безымянный - 1
3-й Рабочий переулок - 1
переулок Бородина - 1
Пресновка — Куломзино - 1
Школа №6 - 1
СибГеофизПрибор - 1
Шансонье - 1
Суворинский - 1
Почта России 630005 - 1
ПозитивАвто - 1
ДОЛ Звёздный Бриз - 1
Стоянка ретро-автомобилей - 1
54 регион - 1
ост.Энергетик - 1
�?пподром Новосибирск - 1
ГК Горский - 1
улица Барбашова - 1
Почта России 630017 - 1
Солонцовый - 1
чебулинский пудун - 1
1-й переулок 6-й Пятилетки - 1
�?справительная трудовая колония №22 - 1
Столовая школы интерната №133 - 1
Al Pacino - 1
Почта России 630033 - 1
Деревянный медведь с огнетушителем - 1
Администрация Новосибирской области - 1
ворота общества "Парус" - 1
Мишукино Озеро - 1
Заельцовский районный суд - 1
Пензино - 1
ДОЛ Орбита - 1
Затонский - 1
Почта России 630028 - 1
Сибакадемстрой недвижимость - 1
Малый Тебис - 1
�?нститут вычислительной математики и математической геофизики - 1
Удачный - 1
ОбьГЭС - 1
Бар - 1
улица Василевского - 1
ГСК Механизатор - 1
Подстанция «Барабинская» - 1
Горносталёвский сельсовет - 1
Детский сад "Семицветик" - 1
Новосибирский �?нструментальный завод - 1
оз. Божье - 1
ЦО "Заельцовский бор" - 1
подъезд к Красногорскому - 1
мазутка - 1
Ново-Покровский - 1
Арго - 1
Почта России 630035 - 1
Почта России 630034 - 1
Ту-104 - 1
почта - 1
НСТ "Рябинка" - 1
штрафстоянка - 1
Почта России 630055 - 1
Подъезд к Юрге II - 1
Эконом - 1
Школа Управления АПК - 1
4-я улица Шевцовой - 1
Грибная улица - 1
улица Мальцева - 1
Элинг пирса НГТУ - 1
Донской переулок - 1
ДОЛ Лазурный берег - 1
Почта России 630048 - 1
2-я Алма-Атинская улица - 1
кафе Сосновка - 1
трамвай 15: Юго-Западный жилмассив => Бугринская роща - 1
Мясной на Северном - 1
Медведкино - 1
Богатырь - 1
2-й Гэсстроевский переулок - 1
H54 - 1
Почта России 630061 - 1
улица Карпинского - 1
переулок Короленко - 1
Ситовка 2-я - 1
Ландшафтная улица - 1
Карельская улица - 1
база отдыха Зеленая Поляна - 1
г. Улантова - 1
Азалия - 1
Почта России 630075 - 1
Парфюмика - 1
70 лет Октября - 1
Гостиница "Терем" - 1
В честь победы в ВОВ - 1
Respect - 1
Паутово - 1
46 км а/д «М-52» — Сосновка - 1
Abnicum - 1
Центральная районная больница - 1
улица Полякова - 1
Завод «Электросигнал» - 1
Маклечиха - 1
Ефремовская - 1
Охотхозяйство - 1
ЛАДА - 1
Памятник С.М. Кирову - 1
улица Блока - 1
Урочище кызылтуз - 1
Экономъ - 1
урочище Викмаковка - 1
Барсучий - 1
Отдел полиции №7 - 1
Детский сад №101 "Улыбка" - 1
Локтёнок - 1
Высота 502 - 1
пункт триангуляции 230,7 - 1
Лебеди, гуси, утки - 1
Заливной Луг - 1
Пригородный пруд - 1
улица Юных Ленинцев - 1
Гребенщикова - 1
Юргинское АТП - 1
Танк Т-34 - 1
Малая Лесная улица - 1
ГСК "Физик" - 1
ЛДС Кудряшовский - 1
Почта России 630095 - 1
переулок Потёмкина - 1
Почта России 630091 - 1
Перекресток - 1
Гарнизонный клуб Звезда - 1
оз. Покойничек - 1
Автоцентр "Бэст Мастер" - 1
Шлагбаум с проходной - 1
Кондитерский - 1
улица Осоавиахима - 1
2-й Порт-Артурский переулок - 1
Каховская улица - 1
Святой Ключ - 1
Ольховка - 1
АЗС Большая - 1
Лисьи Норки - 1
Азбука Комфорта - 1
Линейная производственно-диспетчерская станция "Сокур" - 1
Дента-Вита - 1
Пресное - 1
Верх-Каргатский сельсовет - 1
Высокая улица - 1
Вечная Слава Героям - 1
Церковь Мучеников младенцев Вифлеемских - 1
Абсолют Банк - 1
ОАО «НПО Элсиб» - 1
Правый Курундус - 1
Храм Николая Чудотворца - 1
Помост - 1
Садовое общество Виктория - 1
Академическая улица - 1
ОАО "15 ЦАРЗ" - 1
Виноградовка - 1
оз.Новочёрновское - 1
главный корпус СГУПС - 1
Пожарная часть №24 - 1
exlinguo - 1
Рыболов - 1
улица Чекалина - 1
Выборный проезд - 1
Оптовая база "Первомайская" - 1
Пожарная часть №20 - 1
Детский сад №447 "Семицветик" - 1
Автоцентр - 1
ЖК Акатуйский - 1
Рощинский сельсовет - 1
Бурлинский сельсовет - 1
1-й Хилокский переулок - 1
затон - 1
Ладожская улица - 1
Новокыртышкино - 1
улица Бабушкина - 1
подъезд к Кудряшовскому - 1
Энгельдинка - 1
болото чистое - 1
Автотранспортный техникум - 1
Здвинск — Довольное — 17 км а/д «К-09» - 1
Масляха - 1
детский сад №6 - 1
Складской комплекс Престиж - 1
Вневедомственная Охрана - 1
ООО Простор - 1
2-й квартал - 1
площадь Гарина-Михайловского - 1
Конный клуб Мустанг - 1
Каменский тракт - 1
Остановка Химзавод - 1
пункт триангуляции 243,6 - 1
Ленинский районный суд - 1
Медико-оздоровительный центр СГУПС - 1
оз. Целебное - 1
Станичная улица - 1
ур. Подрезово - 1
оз. Льняное - 1
Сиреневый проспект - 1
Педагогический колледж - 1
газ пром - 1
Александрит - 1
�?справительная колония №14 - 1
Детский сад №260 "Медвежонок" - 1
�?рбизинский сельсовет - 1
улица Лунная - 1
По карману - 1
Научная библиотека НГПУ - 1
Отоково - 1
Комбар - 1
396 км - 1
Степногутово - 1
Здвинский сельсовет - 1
Шанс - 1
Крутихинский сельсовет - 1
Парк "Веди" - 1
ПС 220 кВ "Урожай" - 1
Хлопок - 1
Дуэт - 1
СНТ "Ельцовка" - 1
пешеходная 5/1 - 1
Стройка жилого дома (Раньше была психбольница) - 1
Ветеринарная аптека - 1
улица Курако - 1
Центральный Сибирский Ботанический Сад - 1
2-й Чукотский переулок - 1
Вертолёт Ми-2 - 1
улица Бажова - 1
Лысая гора - 1
Черкасская улица - 1
Бирюза - 1
Петраковский сельсовет - 1
2-я �?скитимская улица - 1
Студеновский - 1
Коммунаров - 1
бол. Задорное - 1
Бизнес-центр на Фрунзе - 1
Карасукский - 1
улица Михеева - 1
УЮТ автокомлпекс запчастей - 1
ГСК "Гидроимпульс" - 1
Микрорайон "Д" - 1
Детский сад №4 "Семья" - 1
Федосово - 1
ГСК "Чайка" - 1
Фармавита - 1
улица Щербакова - 1
Отдел Военного комиссариата Новосибирской области по г. Бердск - 1
Ласточка - 1
Сауна  - 1
ЛДСК - 1
улица Бориса Полевого - 1
депо - 1
Бассейн "Зима-Лето" - 1
Тернопольская улица - 1
Въезд N2 - 1
Тетради - 1
Въезд N1 - 1
3-я Окинская улица - 1
Водолей - 1
3-й переулок Римского-Корсакова - 1
Бассейн «Нептун» - 1
Церковь Евангельских-Христиан Баптистов на Каменской - 1
1-я Восточная улица - 1
Светофорная улица - 1
р. �?рмень - 1
оз. Песчаное - 1
Учебный корпус №7, общежитие №2 - 1
Томск — Москва - 1
Городская поликлинника №2 - 1
Медведский сельсовет - 1
Шины, диски - 1
улица 4-й квартал - 1
Чановский музей - 1
Эстонская улица - 1
Монумент славы - 1
Пекорино, гастрономический бутик - 1
Студгородок НГУ - 1
Маршрутное такси №225 - 1
ФД20-2610 - 1
Гран-при - 1
Учебные мастерские ПУ №22 - 1
урочище Барсучье - 1
трамвай 18 - 1
Каинск-Барабинский - 1
Relax - 1
Тогучинская ЦРБ - 1
ост. Вокзал - 1
У дяди Вити - 1
трамвай 15 - 1
Участковый пункт полиции - 1
Аллея 5 - 1
Лыжная база им. Алика Тульского - 1
Лукойл АЗС - 1
Торфяная улица - 1
ул. Спартака - 1
Дивизионная улица - 1
Учебный центр - 1
Комбинатский переулок - 1
�?нфекционная больница - 1
Магазин Хлеб-Соль - 1
АЗС Патриот - 1
Карасук 3 - 1
Ветроград - 1
Карасук 2 - 1
Здвинск — 157 км а/д «К-01» - 1
Новосибирский педагогический колледж №2 - 1
4-й переулок Римского-Корсакова - 1
Аллея 2 - 1
Эндуро парк "Новосибирский" - 1
Аллея 3 - 1
Аллея 4 - 1
ООО "Трансмиссионный Сервис Центр" - 1
Песчаное озеро - 1
Посёлок Кирово - 1
Клиника Эстетической стоматологии - 1
Октан-М - 1
Мошковское кладбище - 1
улица 19-го Партсъезда - 1
Березовский - 1
Мал. Чингис - 1
1-я Газовая улица - 1
Хлоя Хоум - 1
Катодная улица - 1
Чкаловские дачи №2, домик 3 - 1
Чкаловские дачи №2, домик 4 - 1
Яркуль-Матюшкино - 1
Кубанский - 1
Дворец культуры Железнодорожников - 1
Чкаловские дачи №2, домик 5 - 1
Чкаловские дачи №2, домик 6 - 1
Новосибирская центральная районная больница, пос. Краснообск - 1
Южная площадь - 1
о. Шарапский - 1
Подлесный - 1
Консерватория имени М.�?. Глинки - 1
Памятник В.�?.Ленину - 1
Весенний переулок - 1
2-й Трикотажный переулок - 1
Автобус №651 - 1
Лабораторный корпус НГУ - 1
Чкаловские дачи №2, домик 1 - 1
Колывань — Южино - 1
Цезарь - 1
Стоянка автосервиса - 1
Вычислительный центр СО РАН - 1
�?нструментальный завод «Сибсельмаш» - 1
Областной краеведческий музей - 1
Кленовая - 1
Набережное - 1
<== п."Смоленский" - СНТ "Полянка"  ==> - 1
Большое Топольное озеро - 1
Тополевая улица - 1
о. Гнилое Болото - 1
болото Гладкое - 1
Новосибирский Центр Крови - 1
Тополинский сельсовет - 1
Шабаниха - 1
подъезд к Таскаево - 1
Берегиня детская школа искуств - 1
Русская Служба Новостей УКВ 73.16Мгц - 1
<== Жеребцово-Мотково ==> - 1
Барановский - 1
налоговая инспекция - 1
Краснозерское — Половинное - 1
Плеханово - 1
СНТ Строитель - 1
Центр стоматологии - 1
Долинная улица - 1
Кошелево - 1
Майкопская улица - 1
Башня Рапунцель - 1
Escada - 1
Промышленновский район - 1
Харбин - 1
Детский оздоровительный лагерь "Завьяловский" - 1
Чернореченский - 1
7-я Садовая улица - 1
Лагерь Обские зори - 1
Бочка - 1
Светловский сельсовет - 1
Бизнесс - центр "БАДЕН" - 1
СНТ "Полянка" - 1
Долина Смерти - 1
Чича - 1
Детский сад №12 Красная шапочка - 1
Новосибирск — Колывань — Томск (в границах НСО) - 1
Ммс 54 - 1
Пивная Арена - 1
Рекламное агенство «Граммофон Новосибирск» - 1
8-й Чукотский переулок - 1
Тогучин — Степногутово - 1
Электрозаводская улица - 1
Первомаец,СДЮСШОР,клуб спорт. единоборств - 1
Окопный переулок - 1
Дом отдыха локомотивных бригад - 1
АЗС Сибтопинвест - 1
Такси Барс - 1
Черепановский лесхоз - 1
АЗС Панарин - 1
подъезд к Новой Чебуле - 1
Стадион Юный сибиряк - 1
Астор - 1
Кенгуру - 1
Кирилловка - 1
Кайгородская СОШ - 1
1-й Бийский переулок - 1
Студёновский сельсовет - 1
Рыбалка и охота - 1
Новосибирский техникум легкой промышленности и сервиса - 1
переулок Белухи - 1
Комплексный центр социального обслуживания - 1
улица Борисовского - 1
Харзы - 1
Автобаза - 1
TP2989 - 1
Казарма 3144 км - 1
DC парк - 1
Хомутиное - 1
о. Елбань - 1
1 (1-36) - 1
Дубинский - 1
Мариинка - 1
улица Симанская - 1
Ж.д. вокзал - 1
Малый Чингис - 1
Москвинский - 1
п.Горка - 1
оз. Рямовое - 1
Шаринский - 1
поселок Вега - 1
TP0343 - 1
Волковский - 1
с. Быструха - 1
Новомихайловский сельсовет - 1
улица Радистов - 1
Медведица с медвежонком - 1
Церковь Евангельских-Христиан Баптистов "Ковчег" (служение для глухонемых) - 1
На поляну - 1
аллея Нефтяников - 1
Граница Казахстан — Россия - 1
1941-1945 - 1
Заливной переулок - 1
Карьер Борок - 1
переулок Токарей - 1
Гусиная Ляга - 1
У Дачи - 1
АТП «Вектор» - 1
Прямой - 1
Детский сад  №42 - 1
оз. Бол.Кайлы - 1
Строительные материалы - 1
Кызылтуз - 1
улица Даниловича - 1
Клубный переулок - 1
ж/м "Затулинский" (коммерческй транспорт) - 1
Юрт-Акбалык - 1
Хрустальный переулок - 1
Подстанция «Юрга» - 1
Сибинтертех - 1
улица Георгия Колонды - 1
Детский сад  №34 - 1
Кызылту - 1
206 км - 1
Сибирский тракт - 1
Мастерская - 1
Сантино - 1
Новосибирский промышленный техникум, корпус А - 1
САН С�?Т�? - 1
6-й переулок Успенского - 1
СПО Радуга - 1
Тяговая ПС "Тебисская" - 1
Барская улица - 1
Библиотека НГУЭиУ "Н�?НХ" - 1
ФТП и �?ФМ�?П - 1
Городская поликлиника №2 - 1
Красный Остров - 1
Каратканский переулок - 1
Корпус №4 - 1
Городская поликлиника №7 - 1
Корпус №7 - 1
�?нфекция - 1
Корпус №5 - 1
оз.Атлугуль - 1
Пирамида - 1
Автосалон Renault - 1
Автобус №8э - 1
Розарий - 1
Малинкино - 1
Степные зори - 1
Меретка - 1
Техно-сити - 1
Галинский - 1
Монтажная улица - 1
Абдул Бокий - 1
переулок Новикова - 1
Городской музей - 1
Двинская улица - 1
Шайдуровский - 1
Мандарин - 1
Сибирский Молл - 1
Томская область - 1
Стиль - 1
Нефедовский - 1
Кристальная улица - 1
оз.Большое Плоское - 1
Чистопольская улица - 1
Рубин - 1
Фотос - 1
Тоннель - 1
улица Молодой Гвардии - 1
улица Сталинградской Битвы - 1
Водстрой - 1
лебяжья - 1
Усть-Луковка - 1
Казачемысский сельсовет - 1
Оравка - 1
Луговской переулок - 1
Шубинская СОШ - 1
Цветочный рай - 1
